Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781125499,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781125500,50,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781125501,60,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781125502,60,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781125503,60,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781125504,60,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781125505,60,,Aggregated,0.000000,0.000000,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,1,0,5414.676292,5414.676292,5414.676292,5414.676292,783.0
1781125506,60,,Aggregated,0.000000,0.000000,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,2,0,5414.676292,5804.0843755000005,5414.676292,6193.492459000001,783.0
1781125507,60,,Aggregated,0.000000,0.000000,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,2,0,5414.676292,5804.0843755000005,5414.676292,6193.492459000001,783.0
1781125508,60,,Aggregated,0.000000,0.000000,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,2,0,5414.676292,5804.0843755000005,5414.676292,6193.492459000001,783.0
1781125509,60,,Aggregated,0.250000,0.000000,9500,9600,10000,10000,10000,10000,10000,10000,10000,10000,10000,7,0,9500.0,8523.240369142857,5414.676292,9953.879,783.0
1781125510,60,,Aggregated,0.222222,0.000000,10000,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,12,0,10000.0,9353.34073625,5414.676292,10831.448292,783.0
1781125511,60,,Aggregated,0.300000,0.000000,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,11000,13,0,10000.0,9516.004073846154,5414.676292,11467.964125,783.0
1781125512,60,,Aggregated,0.700000,0.000000,10000,10000,11000,11000,11000,12000,12000,12000,12000,12000,12000,14,0,10000.0,9701.506226357144,5414.676292,12113.034209,783.0
1781125513,60,,Aggregated,1.200000,0.000000,10000,10000,11000,11000,12000,14000,14000,14000,14000,14000,14000,15,0,10000.0,9960.415927933333,5414.676292,13585.15175,783.0
1781125514,60,,Aggregated,1.200000,0.000000,10000,10000,11000,11000,12000,14000,14000,14000,14000,14000,14000,15,0,10000.0,9960.415927933333,5414.676292,13585.15175,783.0
1781125515,60,,Aggregated,1.200000,0.000000,10000,10000,11000,11000,12000,14000,14000,14000,14000,14000,14000,15,0,10000.0,9960.415927933333,5414.676292,13585.15175,783.0
1781125516,60,,Aggregated,1.200000,0.000000,10000,10000,11000,11000,12000,14000,14000,14000,14000,14000,14000,15,0,10000.0,9960.415927933333,5414.676292,13585.15175,783.0
1781125517,60,,Aggregated,1.500000,0.000000,10000,11000,12000,14000,17000,18000,18000,18000,18000,18000,18000,18,0,10000.0,11229.702615833334,5414.676292,17804.543167000003,783.0
1781125518,60,,Aggregated,1.400000,0.000000,12000,18000,18000,18000,19000,19000,19000,19000,19000,19000,19000,27,0,12000.0,13636.406955296297,5414.676292,18934.522958999998,783.0
1781125519,60,,Aggregated,1.300000,0.000000,14000,18000,18000,18000,19000,19000,20000,20000,20000,20000,20000,28,0,12000.0,13864.525650357144,5414.676292,20023.730417,783.0
1781125520,60,,Aggregated,1.300000,0.000000,14000,18000,18000,18000,19000,19000,20000,20000,20000,20000,20000,28,0,12000.0,13864.525650357144,5414.676292,20023.730417,783.0
1781125521,60,,Aggregated,2.400000,0.000000,14000,18000,18000,18000,19000,20000,22000,22000,22000,22000,22000,29,0,14000.0,14137.037363586209,5414.676292,21767.365334000002,783.0
1781125522,60,,Aggregated,2.400000,0.000000,14000,18000,18000,18000,19000,20000,22000,22000,22000,22000,22000,29,0,14000.0,14137.037363586209,5414.676292,21767.365334000002,783.0
1781125523,60,,Aggregated,1.600000,0.000000,17000,18000,18000,19000,20000,22000,23000,23000,23000,23000,23000,30,0,14000.0,14444.167734800001,5414.676292,23350.9485,783.0
1781125524,60,,Aggregated,1.600000,0.000000,18000,18000,19000,22000,25000,25000,25000,25000,25000,25000,25000,35,0,18000.0,15907.773923857145,5414.676292,25025.890666,783.0
1781125525,60,,Aggregated,1.500000,0.000000,18000,20000,24000,25000,25000,26000,26000,26000,26000,26000,26000,41,0,18000.0,17309.930501000003,5414.676292,25860.887416,783.0
1781125526,60,,Aggregated,1.500000,0.000000,18000,20000,24000,25000,25000,26000,26000,26000,26000,26000,26000,41,0,18000.0,17309.930501000003,5414.676292,25860.887416,783.0
1781125527,60,,Aggregated,2.000000,0.000000,18000,20000,25000,25000,25000,26000,28000,28000,28000,28000,28000,42,0,18000.0,17565.43241961905,5414.676292,28041.011083,783.0
1781125528,60,,Aggregated,2.000000,0.000000,18000,20000,25000,25000,25000,26000,28000,28000,28000,28000,28000,42,0,18000.0,17565.43241961905,5414.676292,28041.011083,783.0
1781125529,60,,Aggregated,2.000000,0.000000,18000,20000,25000,25000,25000,26000,28000,28000,28000,28000,28000,42,0,18000.0,17565.43241961905,5414.676292,28041.011083,783.0
1781125531,60,,Aggregated,2.400000,0.000000,18000,22000,25000,25000,26000,26000,31000,31000,31000,31000,31000,43,0,18000.0,17873.569090093024,5414.676292,30815.30925,783.0
1781125532,60,,Aggregated,1.500000,0.000000,20000,25000,26000,31000,32000,32000,32000,32000,32000,32000,32000,54,0,19000.0,20610.920768481486,5414.676292,31653.698833000002,783.0
1781125533,60,,Aggregated,1.400000,0.000000,20000,25000,28000,31000,32000,32000,32000,32000,32000,32000,32000,55,0,20000.0,20814.090611327276,5414.676292,31785.262124999997,783.0
1781125534,60,,Aggregated,1.400000,0.000000,20000,25000,28000,31000,32000,32000,32000,32000,32000,32000,32000,55,0,20000.0,20814.090611327276,5414.676292,31785.262124999997,783.0
1781125535,60,,Aggregated,1.400000,0.000000,20000,25000,28000,31000,32000,32000,32000,32000,32000,32000,32000,55,0,20000.0,20814.090611327276,5414.676292,31785.262124999997,783.0
1781125536,60,,Aggregated,1.400000,0.000000,20000,25000,28000,31000,32000,32000,32000,32000,32000,32000,32000,55,0,20000.0,20814.090611327276,5414.676292,31785.262124999997,783.0
1781125537,60,,Aggregated,1.400000,0.000000,20000,25000,28000,31000,32000,32000,32000,32000,32000,32000,32000,55,0,20000.0,20814.090611327276,5414.676292,31785.262124999997,783.0
1781125538,60,,Aggregated,2.000000,0.000000,22000,25000,31000,31000,32000,32000,36000,37000,37000,37000,37000,57,0,22000.0,21366.733393228074,5414.676292,36920.652708,783.0
1781125539,60,,Aggregated,1.400000,0.000000,23000,26000,31000,32000,32000,37000,38000,38000,38000,38000,38000,59,0,23000.0,21925.878850237288,5414.676292,37901.07545799999,783.0
1781125540,60,,Aggregated,1.400000,0.000000,24000,26000,31000,32000,32000,38000,38000,38000,38000,38000,38000,60,0,23000.0,22198.117690233335,5414.676292,38260.20924999999,783.0
1781125541,60,,Aggregated,1.400000,0.000000,24000,26000,31000,32000,32000,38000,38000,38000,38000,38000,38000,60,0,23000.0,22198.117690233335,5414.676292,38260.20924999999,783.0
1781125542,60,,Aggregated,1.400000,0.000000,24000,26000,31000,32000,32000,38000,38000,38000,38000,38000,38000,60,0,23000.0,22198.117690233335,5414.676292,38260.20924999999,783.0
1781125543,60,,Aggregated,1.400000,0.000000,24000,26000,31000,32000,32000,38000,38000,38000,38000,38000,38000,60,0,23000.0,22198.117690233335,5414.676292,38260.20924999999,783.0
1781125544,60,,Aggregated,1.400000,0.000000,24000,26000,31000,32000,32000,38000,38000,38000,38000,38000,38000,60,0,23000.0,22198.117690233335,5414.676292,38260.20924999999,783.0
1781125545,60,,Aggregated,1.400000,0.000000,24000,26000,31000,32000,32000,38000,38000,38000,38000,38000,38000,60,0,23000.0,22198.117690233335,5414.676292,38260.20924999999,783.0
1781125546,60,,Aggregated,1.400000,0.000000,24000,26000,31000,32000,32000,38000,38000,38000,38000,38000,38000,60,0,23000.0,22198.117690233335,5414.676292,38260.20924999999,783.0
1781125547,60,,Aggregated,1.400000,0.000000,24000,26000,31000,32000,32000,38000,38000,38000,38000,38000,38000,60,0,23000.0,22198.117690233335,5414.676292,38260.20924999999,783.0
1781125548,60,,Aggregated,1.400000,0.000000,24000,26000,31000,32000,32000,38000,38000,38000,38000,38000,38000,60,0,23000.0,22198.117690233335,5414.676292,38260.20924999999,783.0
1781125549,60,,Aggregated,1.400000,0.000000,24000,26000,31000,32000,32000,38000,38000,38000,38000,38000,38000,60,0,23000.0,22198.117690233335,5414.676292,38260.20924999999,783.0
1781125550,60,,Aggregated,0.300000,0.000000,25000,28000,32000,32000,37000,38000,41000,44000,44000,44000,44000,63,0,25000.0,23133.15973207937,5414.676292,43952.867,751.5238095238095
1781125551,60,,Aggregated,0.300000,0.000000,25000,31000,32000,36000,40000,41000,44000,45000,45000,45000,45000,69,0,25000.0,24714.316309724636,5414.676292,44895.966791,696.7826086956521
1781125552,60,,Aggregated,0.100000,0.000000,25000,32000,36000,38000,41000,41000,44000,45000,45000,45000,45000,74,0,25000.0,25802.95731075676,5414.676292,44895.966791,657.9459459459459
1781125553,60,,Aggregated,0.100000,0.000000,26000,32000,36000,38000,41000,41000,44000,45000,45000,45000,45000,79,0,26000.0,26443.508350683547,5414.676292,44895.966791,624.0253164556962
1781125554,60,,Aggregated,0.100000,0.000000,26000,32000,36000,38000,41000,41000,44000,45000,45000,45000,45000,79,0,26000.0,26443.508350683547,5414.676292,44895.966791,624.0253164556962
1781125555,60,,Aggregated,1.400000,0.000000,28000,32000,37000,38000,41000,41000,44000,45000,45000,45000,45000,83,0,28000.0,26918.45942162651,5414.676292,44895.966791,599.8313253012049
1781125556,60,,Aggregated,1.400000,0.000000,28000,32000,37000,38000,41000,41000,44000,45000,45000,45000,45000,83,0,28000.0,26918.45942162651,5414.676292,44895.966791,599.8313253012049
1781125557,60,,Aggregated,1.400000,0.000000,28000,32000,37000,38000,41000,41000,44000,45000,45000,45000,45000,83,0,28000.0,26918.45942162651,5414.676292,44895.966791,599.8313253012049
1781125558,60,,Aggregated,1.400000,0.000000,28000,32000,37000,38000,41000,41000,44000,45000,45000,45000,45000,83,0,28000.0,26918.45942162651,5414.676292,44895.966791,599.8313253012049
1781125559,60,,Aggregated,1.400000,0.000000,28000,32000,37000,38000,41000,41000,44000,45000,45000,45000,45000,83,0,28000.0,26918.45942162651,5414.676292,44895.966791,599.8313253012049
1781125560,60,,Aggregated,1.400000,0.000000,28000,32000,37000,38000,41000,41000,44000,45000,45000,45000,45000,83,0,28000.0,26918.45942162651,5414.676292,44895.966791,599.8313253012049
1781125561,60,,Aggregated,2.300000,0.000000,31000,35000,37000,39000,41000,41000,44000,45000,45000,45000,45000,85,0,31000.0,27272.673078870594,5414.676292,44895.966791,588.5882352941177
1781125562,60,,Aggregated,2.200000,0.000000,31000,35000,37000,39000,41000,42000,44000,45000,45000,45000,45000,86,0,31000.0,27458.869718941864,5414.676292,44895.966791,583.1627906976744
1781125563,60,,Aggregated,2.200000,0.000000,31000,35000,37000,39000,41000,42000,44000,45000,45000,45000,45000,86,0,31000.0,27458.869718941864,5414.676292,44895.966791,583.1627906976744
1781125564,60,,Aggregated,1.400000,0.000000,31000,36000,38000,40000,41000,43000,45000,45000,45000,45000,45000,89,0,31000.0,28019.571188617978,5414.676292,45306.10170800001,567.6179775280899
1781125565,60,,Aggregated,0.700000,0.000000,31000,35000,38000,40000,41000,43000,45000,45000,45000,45000,45000,98,0,31000.0,28387.552064551022,5414.676292,45306.10170800001,526.6938775510204
