Method,Name,Error,Occurrences
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""d91622ce-deb8-4831-9975-d5f0f5a10073""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""2b8685fa-04b0-4144-a1fa-91d1bed48123""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""0d751c58-394c-4f50-8994-05afbcad3489""}')",1
POST,POST /api/digital-prf/[id]/submit,"CatchResponseError('submit failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""a9049520-de1f-484e-911d-8281e0f311e1""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 401 {""detail"":""Invalid or expired token""}')",71373
POST,POST /api/digital-prf/[id]/mark-time,"CatchResponseError('mark-time failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""747fc241-0150-4199-b965-74eda24ffacf""}')",1
GET,GET /api/digital-prf/[id],CatchResponseError('refetch failed: 500'),3
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""dae44c17-e472-460d-ab44-33900fca769d""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""9ea7eef4-cff2-4b2f-ba7d-bd4d8d499321""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""085119cc-2240-4750-9d48-c2697741664e""}')",1
POST,POST /api/digital-prf (create),CatchResponseError('create failed: 0 '),54
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""0a6cda43-1646-4d6c-990d-84dc25a576a9""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""f7cb5898-99c6-4b9e-80b0-035dd1bd408f""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""df18db0b-004f-46a7-b520-bc821b528f11""}')",1
POST,POST /api/digital-prf/[id]/mark-time,"CatchResponseError('mark-time failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""133c12f3-4192-435f-a9e8-04cb56ef3004""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""85687cfb-5243-4048-871d-68224b131669""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""b0b5dc1c-d534-4016-a234-8d3dfddaaf92""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""2a200f8e-8a74-48b1-a05a-720c1b389c22""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""24371757-f06d-45b2-9c26-f704670e7610""}')",1
POST,POST /api/digital-prf/[id]/mark-time,"CatchResponseError('mark-time failed: 401 {""detail"":""Invalid or expired token""}')",16
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""49e1c606-7f11-45c4-ac99-c27dfa6e2de5""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""42764b33-22f7-4cb9-bb67-4b3f021b5a99""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""4d7dda06-ac12-45c8-aa89-b094a8b3068b""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""37ea682a-c01a-45ae-80f1-90984a6ebb5e""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""0c01413c-0212-433f-8347-ef235cadbf48""}')",1
GET,GET /api/digital-prf/[id],CatchResponseError('get failed: 401'),5
POST,POST /api/digital-prf/[id]/submit,"CatchResponseError('submit failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""2ec54f58-1e5e-4fc5-8084-73ae60ff7577""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""67bf0df0-100b-4971-ab3d-89d9b80bb4ea""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""6320df65-2b3e-463b-8650-e961013c7597""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""d2e2f917-f73e-46b0-9a50-2519cb43f7e5""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""804fce1f-d4cc-460f-922f-9ac4af47504d""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""6e2e0320-838e-4007-8a90-81269f1ae6f0""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""006e7ba0-8ed2-4971-9437-209ca36b9c82""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""51455b0c-c7b3-48d3-bd3d-0b1d8e259fc7""}')",1
